prompt,country,llm,topic_id,topic_name,topic_volume,topic_intents,topic_visibility,topic_difficulty,brief_response,mentioned_brands_count,sources_count,gap_mentions
house's for sell,us,google_ai_overview,8520373158270261209,Real Estate and Housing Market,2580120,informational:49;navigational:6;commercial:24;transactional:21,0,82,"To find houses for sale, you can utilize online real estate platforms like , , , and . These sites allow you to search by location, price range, size, and other features....",47,6,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
mlb official sponsors,us,google_ai_overview,15970012026721971054,Major League Baseball Sponsorships and Partnerships,2330,informational:79;navigational:5;commercial:10;transactional:6,0,77,"Major League Baseball (MLB) features a lineup of nearly 50 official corporate sponsors . These partners are divided into key categories spanning financial services, techn...",46,6,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
companies with hq in seattle,us,google_ai_overview,16440682354134475366,Seattle Tech and Business Companies,19710,informational:73;navigational:4;commercial:22;transactional:1,0,83,"Seattle hosts headquarters for global giants across tech, retail, and aviation . The city's economy is anchored by massive tech firms, innovative retail brands, and vital...",40,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
50 most searched keywords,us,google_ai_overview,8493694898339643403,Top Search Trends and Keywords 2024,2630,informational:75;navigational:12;commercial:12;transactional:1,0,90,"The 50 most searched keywords are dominated by massive tech platforms, utility sites, and hyper-local search intent (e.g., ""near me""). Below is a comprehensive list repre...",38,4,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
app for vision pro,us,google_ai_overview,5206819803593351717,Apple Vision Pro Apps and Ecosystem,1700,informational:61;navigational:4;commercial:19;transactional:16,0,70,"The Apple Vision Pro offers a variety of apps across different categories, including entertainment, productivity, gaming, and spatial experiences. Some popular apps inclu...",36,15,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
san antonio tx 78251,us,google_ai_overview,17105607366453009155,Westover Hills Community and Healthcare Services,9160,informational:59;navigational:17;commercial:10;transactional:14,0,60,"ZIP code 78251 is located on the Far West Side of San Antonio , TX, primarily in Bexar County . Anchored by Highway 151 and the vibrant Westover Hills and Alamo Ranch are...",34,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
jersey city west bergen,us,google_ai_overview,11479059419366760242,West Bergen Mental Health and Community Services,250,informational:90;navigational:5;commercial:5,0,56,"West Bergen is a predominantly residential neighborhood in the western region of Jersey City, NJ, bordered by John F. Kennedy Boulevard and the West Side . It is known fo...",34,32,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
bayshore ny,us,google_ai_overview,11488680492825507358,Bay Shore NY Location and Demographics,21330,informational:90;navigational:5;commercial:5,0,75,"Bay Shore is a vibrant, historic hamlet located on the South Shore of Long Island, New York . Situated within the Town of Islip in Suffolk County, it serves as a major cu...",34,30,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
sponsors of the mlb,us,google_ai_overview,7805194252851493368,MLB Baseball Patches and Sponsorships,5150,informational:87;navigational:5;commercial:8,0,74,"Major League Baseball (MLB) heads into the season with a roster of 47 official corporate sponsors across diverse categories, marking its largest partnership lineup to dat...",32,5,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
mlb partnerships,us,google_ai_overview,15970012026721971054,Major League Baseball Sponsorships and Partnerships,2330,informational:79;navigational:5;commercial:10;transactional:6,0,77,"Major League Baseball (MLB) maintains a diverse portfolio of corporate sponsors, official charities, and affiliated developmental baseball leagues. Official Corporate Par...",30,6,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
