Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
verdant apartments,6600,26,1.08,4884.0,Easy,Navigational,Branded,Atlanta,No,Yes,T1,2,Quick Win,Yes,Own brand,Semrush
the verdant apartments,4400,31,1.05,3036.0,Medium,Navigational,Branded,Atlanta,No,Yes,T1,3,Quick Win,Yes,Own brand,Semrush
ascent peachtree,3600,26,1.14,2664.0,Easy,Commercial,General / Other,Atlanta,No,Yes,T1,2,Long Tail,No,No local relevance,Semrush
crest on peachtree,2900,28,0.85,2088.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
cyan on peachtree,2900,30,0.98,2030.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
cheap apartments in atlanta ga,2900,41,1.02,1711.0,Medium,Commercial,Price / Budget,Atlanta,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
peachtree towers condominiums,2400,30,0.77,1680.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
studio apartments atlanta,2400,36,1.34,1536.0,Medium,Commercial,Bedroom Type,Atlanta,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
loft apartments atlanta,1900,25,1.04,1425.0,Easy,Commercial,Property / Renter Type,Atlanta,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
verdant peachtree creek,1900,25,1.25,1425.0,Easy,Navigational,Branded,Atlanta,No,Yes,T1,3,Quick Win,Yes,Own brand,Semrush
atlanta apartments for rent,2900,51,1.25,1421.0,Hard,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
bexley chamblee,1900,30,1.95,1330.0,Easy,Navigational,Competitor (Bexley Chamblee),Atlanta,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
anderson at clairmont,1900,31,1.47,1311.0,Medium,Commercial,General / Other,Atlanta,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
aster buckhead,1600,20,1.08,1280.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,2,Long Tail,No,Wrong market/submarket,Semrush
peachtree towers,1600,25,0.86,1200.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,2,Long Tail,No,Wrong market/submarket,Semrush
second chance apartments atlanta,1600,27,2.07,1168.0,Easy,Commercial,Price / Budget,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
the deco at 5211,1600,29,1.37,1136.0,Easy,Commercial,Address / Navigational,Atlanta,Yes,Yes,T1,4,Long Tail,No,No article intent,Semrush
embry hills,1600,30,0.86,1120.0,Easy,Navigational,Competitor (Embry Hills comps),Atlanta,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
peachtree park apartments,1600,32,1.27,1088.0,Medium,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
the averly east village,1600,32,0.88,1088.0,Medium,Commercial,General / Other,Atlanta,Yes,Yes,T1,4,Long Tail,No,No local relevance,Semrush
peachtree hills place,1300,19,1.67,1053.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
inexpensive apartments in atlanta,1600,35,1.02,1040.0,Medium,Commercial,Price / Budget,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
student apartments atlanta,1600,36,1.67,1024.0,Medium,Commercial,Bedroom Type,Atlanta,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartments for rent in atlanta ga,1900,48,1.25,988.0,Hard,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,6,Long Tail,Yes,Local intent,Semrush
avenues at holcomb bridge,1300,24,0.64,988.0,Easy,Commercial,General / Other,Atlanta,Yes,Yes,T1,4,Long Tail,No,No local relevance,Semrush
peachtree road atlanta,1300,25,0.0,975.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
vue at embry hills,1300,27,1.32,949.0,Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T1,4,Gap,Yes,Top competitor - comparison/gap,Semrush
embree hill,1300,28,0.79,936.0,Easy,Commercial,General / Other,Atlanta,No,Yes,T1,2,Long Tail,No,No local relevance,Semrush
apartments for rent atlanta,1900,52,1.25,912.0,Hard,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
chamblee apartments,1300,33,2.43,871.0,Medium,Commercial,City + Apartments,Atlanta,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
income based apartments atlanta,1300,33,1.52,871.0,Medium,Commercial,Price / Budget,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
manor chamblee,1300,33,1.41,871.0,Medium,Navigational,Competitor (Manor Chamblee),Atlanta,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
eagle run apartments on bouldercrest,1000,13,0.71,870.0,Very Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T1,5,Long Tail,No,Wrong market/submarket,Semrush
apartments for rent atlanta ga,1600,48,1.25,832.0,Hard,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
renaissance on peachtree,1000,18,2.07,820.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
appletree court,1000,20,3.27,800.0,Easy,Commercial,General / Other,Atlanta,No,Yes,T1,2,Long Tail,No,No local relevance,Semrush
1 bedroom apartments atlanta,1000,21,1.86,790.0,Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
embry apartments,1300,40,0.81,780.0,Medium,Commercial,City + Apartments,Atlanta,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
luxury apartments in atlanta ga,1300,41,1.97,767.0,Medium,Commercial,Luxury,Atlanta,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
aster at the summit,1000,26,0.78,740.0,Easy,Commercial,General / Other,Atlanta,Yes,Yes,T1,4,Long Tail,No,No local relevance,Semrush
peachtree hills place buckhead,880,17,1.67,730.4,Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T1,4,Long Tail,No,Wrong market/submarket,Semrush
2 bedroom apartments atlanta,1000,27,2.42,730.0,Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
arts center tower apartments,1000,28,0.81,720.0,Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,4,Long Tail,No,No local relevance,Semrush
the villas of east cobb,1000,28,0.79,720.0,Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T1,5,Long Tail,No,Wrong market/submarket,Semrush
the oliver chamblee,1000,29,2.0,710.0,Easy,Navigational,Competitor (The Oliver),Atlanta,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
atlanta ga apartments for rent,1300,46,1.23,702.0,Hard,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
tower place 100,880,21,6.92,695.2,Easy,Commercial,General / Other,Atlanta,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
apartments in chamblee ga,880,26,2.43,651.2,Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
manor chamblee apartments,1000,36,1.11,640.0,Medium,Navigational,Competitor (Manor Chamblee),Atlanta,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
the grove chamblee,1000,36,1.0,640.0,Medium,Navigational,Competitor (The Grove),Atlanta,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
trestle tree atlanta,720,13,2.48,626.4,Very Easy,Commercial,General / Other,Atlanta,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
peachtree towers atlanta,880,30,0.86,616.0,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
apartments chamblee ga,720,17,2.43,597.6,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartments in chamblee,720,17,2.43,597.6,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
overture buckhead south,720,19,1.06,583.2,Easy,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
trestletree village apartments,720,20,2.48,576.0,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
apartments for rent in atlanta,1000,43,1.25,570.0,Medium,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
peachtree hills place atlanta,720,21,1.67,568.8,Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T1,4,Long Tail,No,Wrong market/submarket,Semrush
apartments in doraville,720,23,1.7,554.4,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
villas of omaha at butler ridge,720,25,0.52,540.0,Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T1,6,Long Tail,No,Wrong market/submarket,Semrush
buckhead 960,880,39,1.01,536.8,Medium,Commercial,Out of Market,Atlanta,No,Yes,T1,2,Long Tail,No,Wrong market/submarket,Semrush
anderson on clairmont,880,41,1.47,519.2,Medium,Commercial,General / Other,Atlanta,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
hidden creste apartments atlanta,720,32,0.81,489.6,Medium,Commercial,Bedroom Type,Atlanta,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
