Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
one canal apartments boston,1300,0,1.41,1300.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T1,4,Quick Win,Yes,Own brand,Semrush
boston apartments,12100,0,0.58,12100.0,Very Easy,Commercial,City + Apartments,Boston,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
luxury apartments boston,880,0,1.23,880.0,Very Easy,Commercial,Luxury,Boston,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartments in boston ma,3600,0,0.58,3600.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
boston apartments for rent,5400,0,0.54,5400.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartments boston ma,2900,0,0.58,2900.0,Very Easy,Commercial,City + Apartments,Boston,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartment complexes in boston,2400,0,0.58,2400.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
back bay apartments,880,0,0.75,880.0,Very Easy,Commercial,City + Apartments,Boston,No,Yes,T2,3,Long Tail,Yes,Adjacent neighborhood,Semrush
seaport apartments,1000,0,1.13,1000.0,Very Easy,Commercial,City + Apartments,Boston,No,Yes,T2,2,Long Tail,Yes,Adjacent neighborhood,Semrush
seaport boston apartments,880,0,1.37,880.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T2,3,Long Tail,Yes,Adjacent neighborhood,Semrush
luxury apts boston,1300,0,1.23,1300.0,Very Easy,Commercial,Luxury,Boston,Yes,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
boston luxury apartments,880,0,1.23,880.0,Very Easy,Commercial,Luxury,Boston,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
