Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
orlando vacation apartment rentals,2400,38,1.56,1488.0,Medium,Commercial,City + Apartments,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
perse apartments,1900,27,1.07,1387.0,Easy,Navigational,Competitor (Perse),Orlando,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
studio apartments in orlando,1900,33,0.81,1273.0,Medium,Commercial,Bedroom Type,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
studio apartments orlando fl,1900,33,0.81,1273.0,Medium,Commercial,Bedroom Type,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
downtown apartments in orlando fl,1900,39,2.16,1159.0,Medium,Commercial,City + Apartments,Orlando,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
low income apartments orlando,1600,34,1.05,1056.0,Medium,Commercial,Price / Budget,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartment for rent orlando,1900,45,0.97,1045.0,Medium,Commercial,City + Apartments,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
studio apartments orlando,1600,35,0.82,1040.0,Medium,Commercial,Bedroom Type,Orlando,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
citi lakes,1300,26,1.05,962.0,Easy,Navigational,Branded,Orlando,No,Yes,T1,2,Quick Win,Yes,Own brand,Semrush
aqua at millenia,1600,40,0.57,960.0,Medium,Commercial,Out of Market,Orlando,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
millenia 700 apartment,1300,27,1.34,949.0,Easy,Commercial,Out of Market,Orlando,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
indigo west apartments orlando,1300,28,1.16,936.0,Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
apartments for cheap in orlando,1300,29,0.79,923.0,Easy,Commercial,Price / Budget,Orlando,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
upscale apartments orlando,1600,43,1.74,912.0,Medium,Commercial,Luxury,Orlando,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
student apartments orlando,1300,35,2.63,845.0,Medium,Commercial,Bedroom Type,Orlando,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartment complexes in orlando,1300,39,1.04,793.0,Medium,Commercial,City + Apartments,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
2 bed apartment orlando,1000,23,1.45,770.0,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
2 bedroom apartments orlando,1000,23,1.23,770.0,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
cheap apartments in orlando fl,1300,41,0.78,767.0,Medium,Commercial,Price / Budget,Orlando,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
efficiency apartments in orlando florida,1300,42,0.81,754.0,Medium,Commercial,Bedroom Type,Orlando,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
1 bedroom apartments orlando,1000,32,1.1,680.0,Medium,Commercial,Bedroom Type,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
3 bedroom apartments orlando,880,24,1.79,668.8,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
town vineland - luxury apartments,1000,34,1.12,660.0,Medium,Navigational,Competitor (Town Vineland),Orlando,Yes,Yes,T1,5,Gap,Yes,Top competitor - comparison/gap,Semrush
town vineland,1000,35,1.39,650.0,Medium,Navigational,Competitor (Town Vineland),Orlando,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
single bedroom apartments orlando,1000,42,1.04,580.0,Medium,Commercial,Bedroom Type,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
vineland landings apartments,720,26,0.53,532.8,Easy,Navigational,Competitor (Vineland Landings),Orlando,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
indigo west orlando,720,29,1.02,511.2,Easy,Commercial,General / Other,Orlando,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartments near disney world,720,36,2.12,460.8,Medium,Transactional,Near Landmark,Orlando,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
studio parc apartments,590,28,0.99,424.8,Easy,Navigational,Competitor (Studio Parc),Orlando,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
two bedroom apartments orlando,480,16,1.23,403.2,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
new apartments orlando,390,22,1.94,304.2,Easy,Commercial,Property / Renter Type,Orlando,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
paros vineland apartments,390,28,10.96,280.8,Easy,Navigational,Competitor (Paros Vineland),Orlando,No,Yes,T2,3,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments near seaworld orlando,320,22,1.43,249.6,Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartments near universal studios orlando,390,36,2.47,249.6,Medium,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
vineland landings,320,23,0.56,246.4,Easy,Navigational,Competitor (Vineland Landings),Orlando,No,Yes,T2,2,Gap,Yes,Top competitor - comparison/gap,Semrush
studio parc apartments orlando,320,27,0.88,233.6,Easy,Navigational,Competitor (Studio Parc),Orlando,Yes,Yes,T2,4,Gap,Yes,Top competitor - comparison/gap,Semrush
3 bedroom apartments orlando fl,260,18,1.79,213.2,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
two bedroom apartments in orlando,260,21,1.45,205.4,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
citi lakes apartments,260,27,2.29,189.8,Easy,Navigational,Branded,Orlando,No,Yes,T2,3,Quick Win,Yes,Own brand,Semrush
apartments near universal orlando,390,53,3.09,183.3,Hard,Transactional,Near Landmark,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
town vineland apartments,260,33,1.26,174.2,Medium,Navigational,Competitor (Town Vineland),Orlando,No,Yes,T2,3,Gap,Yes,Top competitor - comparison/gap,Semrush
2 bedroom apartment orlando,210,18,1.45,172.2,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
orlando 2 bedroom apartments,210,25,1.23,157.5,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
luxury apartments in nsa orlando fl,210,26,1.74,155.4,Easy,Commercial,Luxury,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
pet friendly apartments orlando,210,30,1.33,147.0,Easy,Commercial,Pet Friendly,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartments near seaworld,170,19,1.81,137.7,Easy,Transactional,Near Landmark,Orlando,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
apartments near lake buena vista,170,21,3.24,134.3,Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
cost of living orlando fl,170,25,0.71,127.5,Easy,Commercial,Price / Budget,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments with smart home tech in south orlando fl,140,10,0.0,126.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,9,Long Tail,Yes,Local intent,Semrush
paros vineland,170,31,0.9,117.3,Medium,Navigational,Competitor (Paros Vineland),Orlando,No,Yes,T2,2,Gap,Yes,Top competitor - comparison/gap,Semrush
orlando 3 bedroom apartments,140,23,1.79,107.8,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartments on international drive,170,39,2.01,103.7,Medium,Commercial,City + Apartments,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
2 bedroom apartments in orlando fl,110,20,1.23,88.0,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
2 bedroom apartments for rent in orlando fl,110,23,0.96,84.7,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,8,Long Tail,Yes,Local intent,Semrush
brand new apartments in orlando,140,41,2.05,82.6,Medium,Commercial,Property / Renter Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
lake view apartments orlando,110,27,1.59,80.3,Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
luxury apartments in south orlando fl,140,47,1.74,74.2,Hard,Commercial,Luxury,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
new apartment complexes in orlando,110,36,1.93,70.4,Medium,Commercial,City + Apartments,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments with gourmet kitchens in south orlando fl,90,25,0.0,67.5,Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,8,Long Tail,Yes,Local intent,Semrush
one bedroom apartments in orlando florida,90,30,1.06,63.0,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
3 bedroom apartment orlando,70,15,2.03,59.5,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
2 bedroom apartments for rent orlando fl,70,19,0.96,56.7,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Local intent,Semrush
citi lakes reviews,70,19,0.85,56.7,Easy,Navigational,Branded,Orlando,No,Yes,T2,3,Quick Win,Yes,Own brand,Semrush
3 bedroom apartment orlando florida,70,21,1.79,55.3,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
citi lakes apartments orlando fl,70,25,1.32,52.5,Easy,Navigational,Branded,Orlando,Yes,Yes,T2,5,Quick Win,Yes,Own brand,Semrush
citi lakes orlando,70,26,1.32,51.8,Easy,Navigational,Branded,Orlando,No,Yes,T2,3,Quick Win,Yes,Own brand,Semrush
2 bedroom apartments in south orlando fl,70,27,0.0,51.1,Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Local intent,Semrush
apartments in dr phillips orlando,70,33,1.5,46.9,Medium,Commercial,City + Apartments,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
tech-enabled apartments in south orlando fl,70,37,0.0,44.1,Medium,Commercial,City + Apartments,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
three bedroom apartments orlando,50,15,2.03,42.5,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartments near sea world,40,15,2.33,34.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartments near vineland outlets,30,0,1.73,30.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
average rent orlando fl,30,0,0.58,30.0,Very Easy,Commercial,Price / Budget,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
moving to orlando fl,30,7,3.88,27.9,Very Easy,Informational,Renter Education,Orlando,Yes,Yes,T2,4,Informational,Yes,Local intent,Semrush
apartments near international drive orlando,30,28,2.37,21.6,Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
