url,title,description,keyword,keyword type,volume,keyword difficulty,intent
https://www.brightplace.ai/guides/kansas-city-young-professionals,Kansas City Neighborhoods for Young Pros | brightplace,"where young professionals are actually renting in kc. neighborhood breakdowns with rent ranges, walkability, nightlife access, and commute context.",young professional housing kansas city,recommended,0,0,
https://www.brightplace.ai/guides/kansas-city-young-professionals,Kansas City Neighborhoods for Young Pros | brightplace,"where young professionals are actually renting in kc. neighborhood breakdowns with rent ranges, walkability, nightlife access, and commute context.",kansas city neighborhoods young professionals,recommended,0,0,
https://www.brightplace.ai/guides/kansas-city-young-professionals,Kansas City Neighborhoods for Young Pros | brightplace,"where young professionals are actually renting in kc. neighborhood breakdowns with rent ranges, walkability, nightlife access, and commute context.",kc apartments for young professionals,recommended,0,0,
https://www.brightplace.ai/guides/kansas-city-young-professionals,Kansas City Neighborhoods for Young Pros | brightplace,"where young professionals are actually renting in kc. neighborhood breakdowns with rent ranges, walkability, nightlife access, and commute context.",renting in kansas city for young adults,recommended,0,0,
https://www.brightplace.ai/guides/kansas-city-young-professionals,Kansas City Neighborhoods for Young Pros | brightplace,"where young professionals are actually renting in kc. neighborhood breakdowns with rent ranges, walkability, nightlife access, and commute context.",best places to live in kansas city for young professionals,recommended,40,12,commercial
https://www.brightplace.ai/resources/restaurants-for-lease-near-me,Restaurants for Lease Near Me | brightplace,"looking for restaurants for lease near you? here is how commercial restaurant leases work, where to search, and what to check before signing anything.",restaurant for lease,recommended,2400,13,informational
https://www.brightplace.ai/resources/restaurants-for-lease-near-me,Restaurants for Lease Near Me | brightplace,"looking for restaurants for lease near you? here is how commercial restaurant leases work, where to search, and what to check before signing anything.",restaurants for lease near me,recommended,1900,15,"informational, transactional"
https://www.brightplace.ai/resources/restaurants-for-lease-near-me,Restaurants for Lease Near Me | brightplace,"looking for restaurants for lease near you? here is how commercial restaurant leases work, where to search, and what to check before signing anything.",restaurant space for rent,recommended,1600,17,informational
https://www.brightplace.ai/resources/restaurants-for-lease-near-me,Restaurants for Lease Near Me | brightplace,"looking for restaurants for lease near you? here is how commercial restaurant leases work, where to search, and what to check before signing anything.",restaurants for rent,recommended,1300,16,informational
https://www.brightplace.ai/resources/restaurants-for-lease-near-me,Restaurants for Lease Near Me | brightplace,"looking for restaurants for lease near you? here is how commercial restaurant leases work, where to search, and what to check before signing anything.",restaurant for rent near me,recommended,1900,27,"informational, transactional"
